Column3,Column4,Column6,Column8
Schmolz + Bickenbach UGIMA 304/304L® Stainless Steel Bar,241 - 552,552 - 793,40.0 - 50.0
Schmolz + Bickenbach UGIMA® 304 Cu Stainless Steel Bar,207 - 621,483 - 724,28.0 - 62.0
Schmolz + Bickenbach UGIMA® 316/316L Stainless Steel Bar,207 - 655,517 - 793,30
Schmolz + Bickenbach 416 Stainless Steel Bar,448 - 896,621 - 1030,10.0 - 40.0
Schmolz + Bickenbach 430FR Stainless Steel Bar,310 - 448,448 - 552,25
Schmolz + Bickenbach UGIMA® 630 Stainless Steel Bar,517 - 1070,793 - 1310,0.000 - 18.0
Schmolz + Bickenbach IMRE™ Stainless Steel Bar,345 - 517,483 - 621,30
Schmolz + Bickenbach LeanDup™ 35N Stainless Steel Bar,379 - 1500,655 - 1700,2.00 - 50.0
Schmolz + Bickenbach UgiPerm™ 12FM Stainless Steel Bar,310 - 448,448 - 552,30
Schmolz + Bickenbach 416RS Stainless Steel Bar,448 - 889,621 - 986,2.00 - 4.00
EDRO RoyAlloy™ #6 Free Machining Stainless Holder Steel,889,1070,12
EDRO EDRO400™ #40 Prehardened Insert Quality Martensitic Stainless Steel,1010,1300,13
EDRO P1FM #31 Free Machining Holder Steel,800,945,18
EDRO #2 Prehardened 4130 Holder Block,800,1010,18
EDRO UltraChem® #15 Precipitation Hardening Stainless Mold Steel,1210,1310,14
EDRO UltraChem® ESR #16 Precipitation Hardening Stainless Mold Steel,1210,1310,14
EDRO #3 Prehardened Mold Quality P20 Alloy Steel,800,1010,20
EDRO #8 Premium 420 Stainless Mold Steel,1280 - 1610,1420 - 2070,8.00 - 12.0
EDRO #5 H13-Hot Work Tool Steel,1280 - 1520,1420 - 1810,10.0 - 12.0
EDRO #45 Free Machining Carbon Steel,386,662,20
